25	250
0.000000000	0.000000000	0.000000000
0.000000000	0.000000000	0.000000000
104.456179845	-0.000000000	-0.000000000
97.062616182	-0.000000000	0.000000000
88.176977204	-0.000000000	0.000000000
88.363434538	-0.000000000	0.000000000
111.640623607	-0.000000000	0.000000000
100.754388070	-0.000000000	0.000000000
90.000002504	-0.000000000	0.000000000
-0.032690886	0.004242081	-59.529483598
82.718665679	147.760678843	7.245929978
96.350794357	147.033263697	-4.865337552
92.797777762	162.991795787	-1.379216257
-0.032690886	-0.004242081	59.529483598
82.718665679	-147.760678843	-7.245929978
96.350794357	-147.033263697	4.865337552
92.797777762	-162.991795787	1.379216257
46.034218251	16.071563183	-116.035433696
46.034218251	-16.071563183	116.035433696
-94.784952999	-6.732143512	0.540408783
-78.853304534	-1.247841837	-0.079735875
-161.067389988	-0.678458965	2.122618315
0.000003415	0.000049519	-174.179276817
-94.784952999	6.732143512	-0.540408783
-78.853304534	1.247841837	0.079735875
-161.067389988	0.678458965	-2.122618315
0.000003415	-0.000049519	174.179276817
0.000000000	0.000000000	0.000000000
0.000000000	0.000000000	0.000000000
0.000000000	0.000000000	0.000000000
4.749308433	-6.213222878	2.121350675
0.000000000	0.000000000	0.000000000
0.451787879	-2.405200103	-2.701902667
0.419315185	0.904185672	4.251084126
-4.445295006	-14.681165479	0.461346301
10.747201914	-4.470601710	3.557303606
9.618876007	-5.614417205	-0.475282662
-8.884925223	15.479225273	-41.333699140
22.556899517	-0.509746249	12.041461290
-0.869552664	9.043680164	12.748560039
10.467699474	6.100993052	0.562132093
-4.844585303	-14.387767873	40.058195463
23.728710677	0.213778891	-12.854466391
-2.299026093	-24.662266055	-12.737862255
0.000000000	-0.000001708	-0.000000854
0.000000000	0.000001708	0.000000854
-9.181879650	-0.994247052	3.692775072
27.317558444	-0.637315613	-2.291936357
-17.399203401	-4.472031354	-11.186751908
21.007409632	-1.983433788	-0.973586797
-14.865823059	-6.477503814	4.354887634
33.433154440	-0.226652544	3.193866465
-17.466383434	0.458448860	0.232277605
-2.948277195	-0.248007504	0.023169206
0.000000000	0.000000000	0.000000000
0.000000000	0.000000000	0.000000000
0.000000000	0.000000000	0.000000000
4.860090686	-6.207109859	2.254456121
0.000000000	0.000000000	0.000000000
0.389389885	-2.451726498	-2.852802463
0.170801247	0.962511538	4.411912883
-4.177719357	-14.170434669	0.014359639
10.814399022	-4.298003684	3.496604355
9.618873446	-5.614416352	-0.475283623
-9.214107044	15.228939821	-41.631188029
22.421287819	-0.491727623	11.950746986
-0.896231810	9.358508342	12.725246042
10.467698620	6.100992625	0.562131826
